,text,joy,anger,fear,sadness,disgust,person
0,"Mr. Macron must win this election because if it is Madam lepen in power france will be in the CHAOS and I do not want a war in France I love france is not retreating, a France which advance, wants a France with all borders is with all that France advance (exports and imports) will be in a DOME and that is out of the question.  Can be Macron will not better but at least we will this chaos on our head. Come macron !!!",0.515848,0.317362,0.160446,0.04972,0.036015,macron
1,It has very interesting ideas in relation to French citizens not As macron want France sank ,0.502424,0.229468,0.076863,0.163919,0.066818,macron
2,My friends think the same thing because we see the réaliter opposite. We have modest family and we know that if macron password we will still lose our power Pan-Asian,0.162405,0.226234,0.080372,0.657589,0.024206,macron
3,Ms. pen knows well what macron is is that the result of the policy of holland then why not try the FN may not be its worst of any way,0.058542,0.306898,0.152962,0.378809,0.095679,macron
4,Because with macron will choice ,0.566024,0.048972,0.104692,0.171061,0.052233,macron
5,Caron is our future and with macron is poorly blocked,0.014036,0.108747,0.179438,0.828449,0.105375,macron
6,This'll macron because capitalism is very reductive regime for our country ,0.077776,0.113447,0.170287,0.208712,0.180845,macron
7,"Because people are afraid of Marine Lepen and large, patterns will necessarily vote macron",0.08062,0.018072,0.831546,0.0422,0.050888,macron
8,Mr macron might win because marine lepen the last debate is decridibiliser from French and more sint cest show very childish behavior,0.170792,0.369434,0.124854,0.10722,0.481257,macron
9,Marine pen because it is more honest than mr macron ,0.139149,0.243548,0.118035,0.114375,0.028356,macron
10,Some of my friends are marine to the pen. I am not saying I n not approved because each his choice and his I respect. But marine pen I think credible things say will not share for the immigration c is the only thing I can understand but I strongly believe that macron is majority in the votes.,0.377081,0.31015,0.099896,0.173161,0.148872,macron
11,"People are afraid of lepen, and macron many support ...",0.0138,0.011618,0.883096,0.071454,0.080884,macron
12,Yes my friends are of the same opinion that they will vote for me to counter the rise of macron fn,0.34564,0.232115,0.022212,0.27085,0.284383,macron
13,Quite simply because people who vote Fillon ect ... Referring to vote macron.,0.260827,0.05289,0.01505,0.157307,0.63894,macron
14,I think his will because despite macron is error past he has a good program ,0.141501,0.046518,0.054426,0.814047,0.024884,macron
